# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: D:\zzzProgramming\FPGA\10M08SAE144C8GES_pinout.csv
# Generated on: Wed Sep 16 13:01:39 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Arduino_A0,Unknown,PIN_6,1A,B1_N0,2.5 V,,,,,
Arduino_A1,Unknown,PIN_7,1A,B1_N0,2.5 V,,,,,
Arduino_A2,Unknown,PIN_8,1A,B1_N0,2.5 V,,,,,
Arduino_A3,Unknown,PIN_10,1A,B1_N0,2.5 V,,,,,
Arduino_A4,Unknown,PIN_11,1A,B1_N0,2.5 V,,,,,
Arduino_A5,Unknown,PIN_12,1A,B1_N0,2.5 V,,,,,
Arduino_A6,Unknown,PIN_13,1A,B1_N0,2.5 V,,,,,
Arduino_A7,Unknown,PIN_14,1A,B1_N0,2.5 V,,,,,
CLOCK,Unknown,PIN_27,2,B2_N0,,,,,,
DIFFIO_L20N_CLK1N,Unknown,PIN_28,2,B2_N0,2.5 V,,,,,
DIFFIO_L20P_CLK1P,Unknown,PIN_29,2,B2_N0,2.5 V,,,,,
DIFFIO_L27N_PLL_CLKOUTN,Unknown,PIN_32,2,B2_N0,2.5 V,,,,,
DIFFIO_L27P_PLL_CLKOUTP,Unknown,PIN_33,2,B2_N0,2.5 V,,,,,
DIFFIO_B1N,Unknown,PIN_38,3,B3_N0,2.5 V,,,,,
DIFFIO_B1P,Unknown,PIN_39,3,B3_N0,2.5 V,,,,,
DIFFIO_B3N,Unknown,PIN_41,3,B3_N0,2.5 V,,,,,
